Tour,Equipe1,Equipe2
11,SETTON,RENOUARD
11,BEAUVILLAIN,SAPORTA
11,BENOIT,SALLIERE
11,SEBBANE,REIPLINGER
11,GAUTRET,KILANI
11,COUNIL,GARCIA
11,ROSSARD,DOLLA
11,MORET,DAMIANI
12,KILANI,SEBBANE
12,GARCIA,GAUTRET
12,COUNIL,MORET
12,SALLIERE,RENOUARD
12,BEAUVILLAIN,BENOIT
12,SAPORTA,SETTON
12,DAMIANI,ROSSARD
12,REIPLINGER,DOLLA
13,SEBBANE,GARCIA
13,ROSSARD,COUNIL
13,REIPLINGER,DAMIANI
13,DOLLA,KILANI
13,RENOUARD,BEAUVILLAIN
13,GAUTRET,MORET
13,BENOIT,SAPORTA
13,SETTON,SALLIERE
14,GAUTRET,ROSSARD
14,SETTON,BENOIT
14,SALLIERE,BEAUVILLAIN
14,COUNIL,REIPLINGER
14,RENOUARD,SAPORTA
14,GARCIA,DOLLA
14,MORET,SEBBANE
14,KILANI,DAMIANI
15,REIPLINGER,GAUTRET
15,SAPORTA,SALLIERE
15,KILANI,COUNIL
15,BEAUVILLAIN,SETTON
15,DAMIANI,GARCIA
15,SEBBANE,ROSSARD
15,DOLLA,MORET
15,BENOIT,RENOUARD

